x;y_camber
0;0.000104957
9.9092E-06;0.000111461
3.96363E-05;0.000130698
8.91802E-05;0.000162258
0.000158539;0.000205729
0.00024771;0.000260699
0.000356689;0.000326757
0.000485472;0.000403489
0.000634055;0.000490482
0.000802431;0.000587324
0.000990593;0.000693601
0.001198534;0.0008089
0.001426247;0.000932808
0.001673721;0.00106491
0.001940946;0.001204794
0.002227914;0.001352045
0.002534611;0.001506249
0.002861027;0.001666994
0.003207147;0.001833867
0.003572958;0.002006453
0.003958447;0.00218434
0.004363596;0.002367115
0.004788391;0.002554366
0.005232815;0.00274568
0.005696849;0.002940646
0.006180476;0.003138853
0.006683676;0.00333989
0.00720643;0.003543345
0.007748717;0.003748811
0.008310514;0.003955876
0.008891801;0.004164133
0.009492554;0.004373174
0.010112748;0.004582624
0.01075236;0.004792358
0.011411365;0.005002354
0.012089735;0.005212593
0.012787444;0.005423056
0.013504465;0.005633723
0.014240769;0.005844575
0.014996327;0.006055592
0.015771109;0.006266755
0.016565084;0.006478045
0.017378221;0.006689441
0.018210487;0.006900925
0.01906185;0.007112478
0.019932275;0.007324081
0.020821729;0.007535713
0.021730176;0.007747356
0.02265758;0.007958991
0.023603904;0.008170599
0.024569111;0.008382161
0.025553163;0.008593658
0.02655602;0.00880507
0.027577642;0.009016379
0.02861799;0.009227567
0.029677022;0.009438614
0.030754696;0.009649502
0.03185097;0.009860212
0.032965799;0.010070726
0.03409914;0.010281024
0.035250948;0.010491089
0.036421176;0.010700902
0.03760978;0.010910445
0.038816711;0.0111197
0.040041922;0.011328647
0.041285364;0.011537269
0.042546988;0.011745547
0.043826744;0.011953463
0.045124581;0.012160998
0.046440448;0.012368135
0.047774292;0.012574854
0.049126062;0.012781138
0.050495702;0.012986969
0.051883159;0.013192329
0.053288378;0.0133972
0.054711303;0.013601564
0.056151878;0.013805404
0.057610046;0.014008702
0.059085748;0.014211441
0.060578927;0.014413604
0.062089523;0.014615172
0.063617477;0.014816129
0.065162727;0.015016458
0.066725213;0.015216142
0.068304872;0.015415164
0.069901642;0.015613507
0.07151546;0.015811154
0.073146261;0.016008089
0.074793982;0.016204295
0.076458556;0.016399757
0.078139918;0.016594457
0.079838002;0.01678838
0.081552739;0.016981509
0.083284062;0.017173829
0.085031902;0.017365324
0.08679619;0.017555978
0.088576856;0.017745775
0.09037383;0.017934701
0.09218704;0.018122739
0.094016414;0.018309875
0.09586188;0.018496093
0.097723365;0.018681378
0.099600794;0.018865716
0.101494094;0.019049092
0.10340319;0.019231491
0.105328005;0.019412899
0.107268464;0.019593301
0.10922449;0.019772684
0.111196004;0.019951032
0.113182929;0.020128333
0.115185187;0.020304571
0.117202697;0.020479735
0.11923538;0.020653809
0.121283155;0.020826781
0.123345942;0.020998637
0.125423658;0.021169364
0.12751622;0.02133895
0.129623547;0.02150738
0.131745554;0.021674643
0.133882158;0.021840726
0.136033273;0.022005617
0.138198815;0.022169303
0.140378697;0.022331771
0.142572833;0.022493011
0.144781137;0.02265301
0.14700352;0.022811756
0.149239895;0.022969238
0.151490173;0.023125442
0.153754265;0.023280355
0.156032081;0.023433965
0.15832353;0.023586259
0.160628523;0.023737224
0.162946967;0.023886849
0.165278771;0.024035121
0.167623841;0.024182028
0.169982087;0.024327559
0.172353413;0.024471702
0.174737725;0.024614446
0.177134931;0.024755778
